Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0163837503871505,0.0378865186676993,0.00494444132357527,0,0,0,0.000503751907276557,8.0850828741336E-09,-6.54161654931106E-25,6.55919809757801E-25,7.67532930677441E-09,-6.43272421121329E-26,4.04088266304532E-09,0,0,0,0,0,0,package://Gripper_simplifisert urdf/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Gripper_simplifisert urdf/meshes/base_link.STL,,main_housing_without_adapter-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
gripper_right,0.00315,0.00214433187807551,0.00474744348815529,0,0,0,0.000188432917352885,2.30415574057775E-09,-2.71325753374622E-26,2.21748409667114E-26,2.19728201258166E-09,3.41171445220796E-11,1.17182721001809E-09,0,0,0,0,0,0,package://Gripper_simplifisert urdf/meshes/gripper_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Gripper_simplifisert urdf/meshes/gripper_right.STL,,hand-2,Origin_gripper_right2,Axis_gripper_right2,gripper_right,prismatic,0.013234,-0.0069935,0.030037,1.5708,0,0,base_link,0,1,0,0,0,0.0018,0.0046,,,,,,,,
gripper_left,0.00315,-0.00505566812192448,0.00474744348815529,0,0,0,0.000188432917352885,2.30415574057776E-09,1.63898564825673E-25,5.01821890112396E-25,2.19728201258166E-09,3.411714452208E-11,1.17182721001809E-09,0,0,0,0,0,0,package://Gripper_simplifisert urdf/meshes/gripper_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Gripper_simplifisert urdf/meshes/gripper_left.STL,,hand-3,Origin_gripper_left2,Axis_gripper_left2,gripper_left,prismatic,0.019534,-0.0069935,0.038537,-1.5708,0,3.1416,base_link,0,1,0,0,0,0.0018,0.0046,,,,,,,,
